transaction_id,transaction_date,sender_id,receiver_id,origin_country,destination_country,sender_bank,receiver_bank,currency,amount_usd,transaction_type,customer_segment,purpose_code,risk_rating
TXN000074,2025-01-10,CUST_A106,RCV_B201,USA,RUS,Harbor Bank,Atlantic Bank,USD,19979.21,Wire,SME,Invoice Payment,Medium
TXN000075,2025-01-10,CUST_A101,RCV_B201,USA,ARE,Continental Finance,Harbor Bank,USD,39211.37,Wire,Corporate,Services,Medium
TXN000076,2025-01-10,CUST_A106,RCV_B202,USA,GBR,Harbor Bank,Harbor Bank,USD,22651.79,Wire,SME,Family Support,Medium
TXN000077,2025-01-10,CUST_A106,RCV_B205,USA,ARE,Harbor Bank,Atlantic Bank,USD,14440.32,Wire,SME,Family Support,Medium
TXN000078,2025-01-11,CUST_A104,RCV_B201,GBR,USA,Atlantic Bank,Harbor Bank,USD,2596.67,ACH,Retail,Family Support,Low
TXN000079,2025-01-11,CUST_A103,RCV_B202,USA,ZAF,Atlantic Bank,Mercury Trust,USD,89464.92,Trade Finance,NBFI,Capital Goods,High
TXN000080,2025-01-11,CUST_A103,RCV_B204,USA,ARE,Harbor Bank,Continental Finance,USD,108137.91,ACH,NBFI,Invoice Payment,High
TXN000081,2025-01-11,CUST_A102,RCV_B206,GBR,USA,Mercury Trust,Continental Finance,USD,6657.73,Remittance,SME,Services,Low
TXN000082,2025-01-11,CUST_A104,RCV_B203,USA,RUS,Mercury Trust,Continental Finance,USD,2469.47,Remittance,Retail,Capital Goods,Low
TXN000083,2025-01-11,CUST_A106,RCV_B203,USA,GBR,Atlantic Bank,Harbor Bank,USD,15583.46,ACH,SME,Invoice Payment,Medium
TXN000084,2025-01-11,CUST_A102,RCV_B204,USA,ZAF,Mercury Trust,Continental Finance,USD,18015.62,Trade Finance,SME,Capital Goods,Low
TXN000085,2025-01-11,CUST_A101,RCV_B203,USA,RUS,Atlantic Bank,Continental Finance,USD,25581.92,ACH,Corporate,Intercompany Transfer,Medium
TXN000086,2025-01-11,CUST_A101,RCV_B202,USA,ZAF,Atlantic Bank,Atlantic Bank,USD,232177.87,Wire,Corporate,Capital Goods,Medium
TXN000087,2025-01-11,CUST_A103,RCV_B204,GBR,USA,Continental Finance,Continental Finance,USD,102626.03,Remittance,NBFI,Family Support,High
TXN000088,2025-01-12,CUST_A102,RCV_B201,USA,GBR,Harbor Bank,Atlantic Bank,USD,27247.4,Wire,SME,Services,Low
TXN000089,2025-01-12,CUST_A104,RCV_B203,USA,ZAF,Atlantic Bank,Atlantic Bank,USD,3345.77,Remittance,Retail,Intercompany Transfer,Low
TXN000090,2025-01-12,CUST_A101,RCV_B203,USA,ARE,Mercury Trust,Mercury Trust,USD,35154.17,Remittance,Corporate,Invoice Payment,Medium
TXN000091,2025-01-12,CUST_A102,RCV_B204,USA,ARE,Atlantic Bank,Continental Finance,USD,2937.5,Trade Finance,SME,Invoice Payment,Low
TXN000092,2025-01-12,CUST_A106,RCV_B203,USA,ARE,Harbor Bank,Continental Finance,USD,11026.32,Wire,SME,Family Support,Medium
TXN000093,2025-01-12,CUST_A105,RCV_B203,USA,RUS,Continental Finance,Continental Finance,USD,76299.87,Wire,Corporate,Family Support,Medium
TXN000094,2025-01-12,CUST_A104,RCV_B203,USA,GBR,Mercury Trust,Harbor Bank,USD,1369.63,Trade Finance,Retail,Intercompany Transfer,Low
TXN000095,2025-01-12,CUST_A106,RCV_B204,USA,DEU,Harbor Bank,Continental Finance,USD,31272.26,Wire,SME,Capital Goods,Medium
TXN000096,2025-01-12,CUST_A103,RCV_B206,USA,ZAF,Harbor Bank,Harbor Bank,USD,267138.38,Wire,NBFI,Capital Goods,High
TXN000097,2025-01-12,CUST_A103,RCV_B203,USA,RUS,Atlantic Bank,Atlantic Bank,USD,71512.67,Trade Finance,NBFI,Intercompany Transfer,High
TXN000098,2025-01-12,CUST_A101,RCV_B204,USA,DEU,Atlantic Bank,Mercury Trust,USD,113594.56,Trade Finance,Corporate,Capital Goods,Medium
TXN000099,2025-01-12,CUST_A105,RCV_B203,USA,GBR,Atlantic Bank,Harbor Bank,USD,31641.49,Trade Finance,Corporate,Intercompany Transfer,Medium
TXN000100,2025-01-12,CUST_A104,RCV_B204,GBR,USA,Harbor Bank,Harbor Bank,USD,1739.83,Remittance,Retail,Invoice Payment,Low
TXN000101,2025-01-12,CUST_A105,RCV_B203,USA,ARE,Continental Finance,Harbor Bank,USD,115179.63,Trade Finance,Corporate,Services,Medium
TXN000102,2025-01-12,CUST_A103,RCV_B204,USA,ARE,Mercury Trust,Continental Finance,USD,367521.59,ACH,NBFI,Intercompany Transfer,High
TXN000103,2025-01-13,CUST_A101,RCV_B203,USA,DEU,Atlantic Bank,Continental Finance,USD,73275.04,Trade Finance,Corporate,Family Support,Medium
TXN000104,2025-01-13,CUST_A103,RCV_B203,USA,DEU,Continental Finance,Atlantic Bank,USD,54110.15,ACH,NBFI,Services,High
TXN000105,2025-01-13,CUST_A102,RCV_B205,GBR,USA,Continental Finance,Harbor Bank,USD,6738.91,Remittance,SME,Intercompany Transfer,Low
TXN000106,2025-01-13,CUST_A103,RCV_B206,USA,ARE,Continental Finance,Continental Finance,USD,146553.66,ACH,NBFI,Intercompany Transfer,High
TXN000107,2025-01-13,CUST_A104,RCV_B205,USA,ZAF,Harbor Bank,Continental Finance,USD,2962.59,Remittance,Retail,Intercompany Transfer,Low
TXN000108,2025-01-13,CUST_A103,RCV_B204,GBR,USA,Mercury Trust,Harbor Bank,USD,136590.63,Wire,NBFI,Intercompany Transfer,High
TXN000109,2025-01-13,CUST_A101,RCV_B202,USA,ARE,Continental Finance,Mercury Trust,USD,32251.32,Wire,Corporate,Capital Goods,Medium
TXN000110,2025-01-13,CUST_A105,RCV_B206,USA,ZAF,Harbor Bank,Mercury Trust,USD,125080.48,ACH,Corporate,Intercompany Transfer,Medium
TXN000111,2025-01-13,CUST_A102,RCV_B203,USA,GBR,Harbor Bank,Atlantic Bank,USD,30234.88,Remittance,SME,Capital Goods,Low
TXN000112,2025-01-14,CUST_A105,RCV_B206,USA,ARE,Continental Finance,Harbor Bank,USD,36560.66,Wire,Corporate,Intercompany Transfer,Medium
TXN000113,2025-01-14,CUST_A105,RCV_B205,USA,ZAF,Harbor Bank,Harbor Bank,USD,91371.27,Wire,Corporate,Invoice Payment,Medium
TXN000114,2025-01-14,CUST_A104,RCV_B202,USA,RUS,Harbor Bank,Continental Finance,USD,2035.63,ACH,Retail,Family Support,Low
TXN000115,2025-01-14,CUST_A104,RCV_B201,USA,ARE,Mercury Trust,Continental Finance,USD,1594.8,Remittance,Retail,Services,Low
TXN000116,2025-01-14,CUST_A102,RCV_B203,USA,RUS,Harbor Bank,Harbor Bank,USD,36381.69,Trade Finance,SME,Services,Low
TXN000117,2025-01-15,CUST_A103,RCV_B205,USA,ZAF,Harbor Bank,Continental Finance,USD,371098.86,ACH,NBFI,Family Support,High
TXN000118,2025-01-15,CUST_A103,RCV_B204,USA,GBR,Atlantic Bank,Harbor Bank,USD,168322.7,Trade Finance,NBFI,Family Support,High
TXN000119,2025-01-15,CUST_A105,RCV_B204,USA,GBR,Mercury Trust,Atlantic Bank,USD,64539.11,ACH,Corporate,Services,Medium
TXN000120,2025-01-15,CUST_A101,RCV_B201,USA,ZAF,Mercury Trust,Atlantic Bank,USD,43596.17,Remittance,Corporate,Invoice Payment,Medium
TXN000121,2025-01-15,CUST_A102,RCV_B203,USA,RUS,Continental Finance,Mercury Trust,USD,29222.4,ACH,SME,Intercompany Transfer,Low
TXN000122,2025-01-15,CUST_A106,RCV_B206,USA,ARE,Harbor Bank,Mercury Trust,USD,9131.39,ACH,SME,Intercompany Transfer,Medium
TXN000123,2025-01-16,CUST_A102,RCV_B201,USA,ZAF,Harbor Bank,Atlantic Bank,USD,18538.63,Remittance,SME,Services,Low
TXN000124,2025-01-16,CUST_A105,RCV_B204,USA,ARE,Harbor Bank,Mercury Trust,USD,125367.99,Trade Finance,Corporate,Intercompany Transfer,Medium
TXN000125,2025-01-16,CUST_A104,RCV_B205,USA,DEU,Harbor Bank,Mercury Trust,USD,1518.44,Trade Finance,Retail,Capital Goods,Low
TXN000126,2025-01-16,CUST_A102,RCV_B202,GBR,USA,Mercury Trust,Continental Finance,USD,34197.62,ACH,SME,Intercompany Transfer,Low
TXN000127,2025-01-16,CUST_A105,RCV_B204,USA,RUS,Mercury Trust,Harbor Bank,USD,135051.49,Trade Finance,Corporate,Family Support,Medium
TXN000128,2025-01-16,CUST_A101,RCV_B202,USA,GBR,Continental Finance,Atlantic Bank,USD,22327.76,Trade Finance,Corporate,Capital Goods,Medium
TXN000129,2025-01-16,CUST_A102,RCV_B204,USA,ARE,Mercury Trust,Harbor Bank,USD,13108.58,Wire,SME,Family Support,Low
TXN000130,2025-01-16,CUST_A103,RCV_B205,USA,GBR,Mercury Trust,Atlantic Bank,USD,70155.51,Trade Finance,NBFI,Services,High
TXN000131,2025-01-16,CUST_A103,RCV_B203,USA,DEU,Mercury Trust,Mercury Trust,USD,119102.68,Wire,NBFI,Capital Goods,High
TXN000132,2025-01-17,CUST_A106,RCV_B201,USA,DEU,Continental Finance,Harbor Bank,USD,21872.11,ACH,SME,Intercompany Transfer,Medium
TXN000133,2025-01-17,CUST_A104,RCV_B202,USA,DEU,Mercury Trust,Harbor Bank,USD,570.49,ACH,Retail,Intercompany Transfer,Low
TXN000134,2025-01-18,CUST_A105,RCV_B204,USA,GBR,Atlantic Bank,Harbor Bank,USD,72154.35,Wire,Corporate,Invoice Payment,Medium
TXN000135,2025-01-18,CUST_A106,RCV_B202,USA,ARE,Atlantic Bank,Continental Finance,USD,6154.11,Remittance,SME,Capital Goods,Medium
TXN000136,2025-01-18,CUST_A102,RCV_B201,GBR,USA,Continental Finance,Harbor Bank,USD,8556.64,ACH,SME,Invoice Payment,Low
TXN000137,2025-01-18,CUST_A102,RCV_B206,GBR,USA,Continental Finance,Harbor Bank,USD,19925.77,Trade Finance,SME,Intercompany Transfer,Low
TXN000138,2025-01-18,CUST_A106,RCV_B202,USA,DEU,Continental Finance,Mercury Trust,USD,12723.55,Trade Finance,SME,Family Support,Medium
TXN000139,2025-01-18,CUST_A106,RCV_B206,USA,GBR,Mercury Trust,Atlantic Bank,USD,9039.31,ACH,SME,Capital Goods,Medium
TXN000140,2025-01-19,CUST_A105,RCV_B205,USA,ZAF,Continental Finance,Atlantic Bank,USD,83765.25,Remittance,Corporate,Family Support,Medium
TXN000141,2025-01-19,CUST_A106,RCV_B205,USA,DEU,Continental Finance,Atlantic Bank,USD,31677.97,Trade Finance,SME,Invoice Payment,Medium
TXN000142,2025-01-19,CUST_A104,RCV_B202,USA,GBR,Continental Finance,Continental Finance,USD,2235.99,Wire,Retail,Invoice Payment,Low
TXN000143,2025-01-19,CUST_A105,RCV_B204,USA,GBR,Harbor Bank,Harbor Bank,USD,77778.75,Wire,Corporate,Capital Goods,Medium
TXN000144,2025-01-19,CUST_A106,RCV_B204,GBR,USA,Continental Finance,Harbor Bank,USD,15094.72,Wire,SME,Intercompany Transfer,Medium
TXN000145,2025-01-20,CUST_A101,RCV_B204,USA,GBR,Atlantic Bank,Harbor Bank,USD,140644.71,ACH,Corporate,Family Support,Medium
TXN000146,2025-01-20,CUST_A104,RCV_B202,GBR,USA,Harbor Bank,Continental Finance,USD,2417.37,Remittance,Retail,Family Support,Low
TXN000147,2025-01-20,CUST_A105,RCV_B204,USA,DEU,Harbor Bank,Atlantic Bank,USD,40354.92,ACH,Corporate,Intercompany Transfer,Medium
TXN000148,2025-01-20,CUST_A104,RCV_B206,USA,GBR,Mercury Trust,Continental Finance,USD,1455.44,ACH,Retail,Capital Goods,Low
TXN000149,2025-01-20,CUST_A106,RCV_B201,USA,ARE,Harbor Bank,Atlantic Bank,USD,12024.6,Remittance,SME,Capital Goods,Medium
TXN000150,2025-01-20,CUST_A101,RCV_B203,USA,RUS,Continental Finance,Atlantic Bank,USD,61395.96,Trade Finance,Corporate,Intercompany Transfer,Medium
TXN000151,2025-01-20,CUST_A106,RCV_B206,USA,DEU,Atlantic Bank,Harbor Bank,USD,4682.77,Remittance,SME,Family Support,Medium
TXN000152,2025-01-20,CUST_A106,RCV_B204,USA,ZAF,Atlantic Bank,Continental Finance,USD,14060.43,Remittance,SME,Family Support,Medium
TXN000153,2025-01-21,CUST_A102,RCV_B206,USA,RUS,Mercury Trust,Harbor Bank,USD,39353.32,Trade Finance,SME,Family Support,Low
TXN000154,2025-01-21,CUST_A103,RCV_B204,USA,DEU,Continental Finance,Continental Finance,USD,689427.31,ACH,NBFI,Capital Goods,High
TXN000155,2025-01-21,CUST_A101,RCV_B204,GBR,USA,Harbor Bank,Atlantic Bank,USD,61109.3,Wire,Corporate,Services,Medium
TXN000156,2025-01-21,CUST_A103,RCV_B203,USA,ZAF,Mercury Trust,Atlantic Bank,USD,120926.58,ACH,NBFI,Family Support,High
TXN000157,2025-01-21,CUST_A101,RCV_B203,USA,GBR,Harbor Bank,Atlantic Bank,USD,46614.7,Wire,Corporate,Capital Goods,Medium
TXN000158,2025-01-21,CUST_A105,RCV_B204,USA,RUS,Mercury Trust,Atlantic Bank,USD,54630.82,Trade Finance,Corporate,Invoice Payment,Medium
TXN000159,2025-01-21,CUST_A103,RCV_B204,USA,GBR,Mercury Trust,Atlantic Bank,USD,116964.3,Wire,NBFI,Invoice Payment,High
TXN000160,2025-01-21,CUST_A103,RCV_B201,USA,RUS,Continental Finance,Mercury Trust,USD,124231.04,Trade Finance,NBFI,Invoice Payment,High
TXN000161,2025-01-21,CUST_A102,RCV_B202,USA,GBR,Mercury Trust,Mercury Trust,USD,14170.6,Trade Finance,SME,Family Support,Low
TXN000162,2025-01-22,CUST_A106,RCV_B205,USA,RUS,Mercury Trust,Continental Finance,USD,9486.6,Remittance,SME,Invoice Payment,Medium
TXN000163,2025-01-22,CUST_A101,RCV_B202,USA,ZAF,Atlantic Bank,Mercury Trust,USD,142474.55,Remittance,Corporate,Capital Goods,Medium
TXN000164,2025-01-22,CUST_A105,RCV_B205,USA,DEU,Harbor Bank,Mercury Trust,USD,34378.23,Wire,Corporate,Family Support,Medium
TXN000165,2025-01-22,CUST_A101,RCV_B205,USA,GBR,Atlantic Bank,Mercury Trust,USD,56815.69,Wire,Corporate,Services,Medium
TXN000166,2025-01-22,CUST_A106,RCV_B205,USA,GBR,Atlantic Bank,Harbor Bank,USD,15588.07,Remittance,SME,Invoice Payment,Medium
TXN000167,2025-01-22,CUST_A104,RCV_B203,USA,GBR,Mercury Trust,Harbor Bank,USD,1420.42,Remittance,Retail,Invoice Payment,Low
TXN000168,2025-01-22,CUST_A106,RCV_B204,USA,RUS,Continental Finance,Continental Finance,USD,8832.56,Remittance,SME,Services,Medium
TXN000169,2025-01-23,CUST_A103,RCV_B201,USA,DEU,Harbor Bank,Harbor Bank,USD,227786.98,Trade Finance,NBFI,Invoice Payment,High
TXN000170,2025-01-23,CUST_A101,RCV_B203,GBR,USA,Atlantic Bank,Mercury Trust,USD,42480.76,Trade Finance,Corporate,Invoice Payment,Medium
TXN000171,2025-01-23,CUST_A103,RCV_B201,USA,GBR,Harbor Bank,Harbor Bank,USD,195392.12,Remittance,NBFI,Invoice Payment,High
TXN000172,2025-01-23,CUST_A103,RCV_B206,USA,ZAF,Continental Finance,Atlantic Bank,USD,98677.57,Trade Finance,NBFI,Intercompany Transfer,High
TXN000173,2025-01-23,CUST_A101,RCV_B205,USA,ARE,Continental Finance,Harbor Bank,USD,31004.17,Wire,Corporate,Intercompany Transfer,Medium
TXN000174,2025-01-23,CUST_A106,RCV_B205,USA,ZAF,Harbor Bank,Mercury Trust,USD,10139.05,Wire,SME,Family Support,Medium
TXN000175,2025-01-23,CUST_A104,RCV_B204,USA,GBR,Harbor Bank,Harbor Bank,USD,2503.19,Wire,Retail,Services,Low
TXN000176,2025-01-23,CUST_A106,RCV_B204,USA,ZAF,Harbor Bank,Atlantic Bank,USD,14121.52,Remittance,SME,Intercompany Transfer,Medium
TXN000177,2025-01-23,CUST_A102,RCV_B202,USA,RUS,Atlantic Bank,Harbor Bank,USD,24939.35,Wire,SME,Capital Goods,Low
TXN000178,2025-01-23,CUST_A101,RCV_B205,GBR,USA,Atlantic Bank,Harbor Bank,USD,90445.16,Remittance,Corporate,Services,Medium
